player_name,year,x,y,overall_risk
Elly De La Cruz,2025,0.042378361,0.003584277,0.137383676
Gunnar Henderson,2025,0.036451834,0.002027063,0.214588762
Bobby Witt Jr.,2025,0.042924764,-0.002475395,0.108744688
Carlos Correa,2025,-0.017986329,-0.027518667,0.649245813
Javier BÃ¡ez,2025,0.008024535,-0.03670507,0.430824889
Willy Adames,2025,0.012184883,-0.046769997,0.487255945
Trea Turner,2025,0.060682523,0.055962312,0.550154153
Ezequiel Tovar,2025,0.002023995,-0.035983952,0.26796321
J.P. Crawford,2025,-0.033305295,-0.007342232,0.515352982
Corey Seager,2025,-0.007505119,-0.039971046,0.650138183
Jeremy PeÃ±a,2025,0.003216968,-0.018243929,0.220568491
CJ Abrams,2025,0.045367474,0.04182357,0.224983729
Dansby Swanson,2025,0.015316954,-0.037907393,0.537192269
Francisco Lindor,2025,0.030636543,-0.000619251,0.448094083
Anthony Volpe,2025,0.052099612,0.043664022,0.152383676
Xander Bogaerts,2025,-0.033456236,0.008960242,0.516498613
Bo Bichette,2025,-0.028132711,-0.014401131,0.540353382
Zach Neto,2025,0.004356655,-0.051152858,0.462502481
Nick Allen,2025,-0.053245731,0.049439297,0.184816109
Geraldo Perdomo,2025,-0.052561404,0.051754952,0.262329826
Trey Sweeney,2025,-0.001154801,-0.051132457,0.176708001
Masyn Winn,2025,-0.023548965,0.009450054,0.231438927
JosÃ© Caballero,2025,0.003337335,-0.008479565,0.197486825
Brayan Rocchio,2025,-0.019963706,-0.007383727,0.166833738
Mookie Betts,2025,-0.03606429,0.016942006,0.399820277
Taylor Walls,2025,-0.015284652,0.001161677,0.410408753
Colson Montgomery,2025,0.007782485,-0.046254668,0.142721051
Gabriel Arias,2025,0.006160511,-0.050092486,0.413462176
Joey Ortiz,2025,-0.036620667,0.026414944,0.35016639
Otto Lopez,2025,-0.020157421,0.021339099,0.275225048
Jared Triolo,2025,0.027250426,0.025040513,0.365336957
Trevor Story,2025,0.060033362,0.05430291,0.576403844
Brooks Lee,2025,-0.027415985,-0.020196696,0.404464164
Josh Smith,2025,-0.025985209,0.002746155,0.288743913
Chase Meidroth,2025,-0.054618783,0.053902339,0.374419723
Isiah Kiner-Falefa,2025,-0.034705889,0.019027666,0.570307913
Jacob Wilson,2025,-0.055331738,0.0531379,0.365685766
